Country,Amount,Year
USA,"1,242,640,763",2011
Canada,"302,300,130",2011
Japan,"282,120,958",2011
European Commission,"258,586,793",2011
Germany,"195,262,234",2011
United Kingdom,"143,876,892",2011
Australia,"143,236,580",2011
UN CERF,"126,152,447",2011
Sweden,"97,831,789",2011
Private Donors,"88,394,624",2011
UN Other Funds and Agencies (excl. CERF),"75,504,651",2011
Netherlands,"73,146,493",2011
Brazil,"70,278,249",2011
Spain,"68,114,692",2011
Saudi Arabia,"67,668,840",2011
Norway,"46,524,750",2011
Switzerland,"46,315,718",2011
Denmark,"45,622,655",2011
France,"38,268,962",2011
Russian Federation,"37,676,430",2011
Belgium,"37,103,118",2011
Finland,"29,901,682",2011
Ireland,"27,010,170",2011
Italy,"26,067,157",2011
China,"20,062,696",2011
India,"14,565,332",2011
Luxembourg,"11,575,030",2011
Ethiopia,"8,900,000",2011
New Zealand,"8,474,357",2011
United Arab Emirates,"6,227,927",2011
Republic of Korea,"5,844,062",2011
Sudan,"3,750,000",2011
Philippines,"3,547,704",2011
Republic of Zambia,"3,419,763",2011
Kenya,"3,406,863",2011
Sri Lanka,"2,720,034",2011
Burundi,"2,423,263",2011
Pakistan,"2,360,475",2011
Cuba,"2,150,478",2011
African Dev Bank,"2,150,000",2011
Mauritania,"2,077,866",2011
Republic of Congo,"2,001,828",2011
Bangladesh,"1,789,984",2011
Namibia,"1,727,272",2011
Egypt,"1,318,977",2011
OPEC Fund for International Development,"1,250,000",2011
Cambodia,"1,227,000",2011
Syria,"1,046,710",2011
Malaysia,"1,000,000",2011
Mexico,"1,000,000",2011
Austria,"732,622",2011
South Africa,"642,949",2011
Morocco,"633,419",2011
South Sudan,"613,677",2011
Lesotho,"600,955",2011
Peru,"482,628",2011
Poland,"464,822",2011
Liechtenstein,"437,661",2011
Swaziland,"360,000",2011
El Salvador,"300,000",2011
Iceland,"293,003",2011
Qatar,"276,981",2011
Venezuela,"274,507",2011
Kuwait,"250,000",2011
Ecuador,"247,780",2011
Czech Republic,"237,225",2011
Monaco,"202,115",2011
Slovenia,"196,089",2011
Thailand,"188,043",2011
Israel,"165,000",2011
Greece,"126,671",2011
Ukraine,"122,831",2011
Colombia,"116,602",2011
Tanzania,"104,987",2011
Azerbaijan,"100,000",2011
Andorra,"99,302",2011
Guatemala,"75,070",2011
Sao Tome And Principe,"72,000",2011
Estonia,"71,225",2011
Senegal,"70,395",2011
Panama,"68,000",2011
Jordan,"66,355",2011
Singapore,"50,000",2011
"Congo, D.R.","40,000",2011
Faroe Islands,"27,614",2011
Chile,"20,000",2011
Georgia,"20,000",2011
Kazakhstan,"19,975",2011
Nicaragua,"19,171",2011
Hungary,"15,000",2011
Slovakia,"15,000",2011
Iraq,"13,574",2011
Holy See,"10,000",2011
International Organization for Migration,"10,000",2011
Bhutan,"5,186",2011
Afghanistan,"1,000",2011
USA,"1,460,147,037",2012
European Commission,"386,136,255",2012
Canada,"367,148,725",2012
United Kingdom,"202,144,818",2012
Japan,"190,748,732",2012
Germany,"150,211,612",2012
UN CERF,"136,788,354",2012
Australia,"121,728,746",2012
Sweden,"95,201,931",2012
Brazil,"82,548,102",2012
UN Other Funds and Agencies (excl. CERF),"82,514,951",2012
Netherlands,"75,255,058",2012
Private Donors,"68,129,616",2012
Switzerland,"60,323,852",2012
Norway,"54,837,312",2012
Denmark,"43,498,318",2012
Russian Federation,"38,000,000",2012
France,"30,920,949",2012
Finland,"26,413,916",2012
Pakistan,"22,162,114",2012
Honduras,"21,258,027",2012
Iraq,"20,131,271",2012
Ireland,"20,002,374",2012
Malawi,"15,541,429",2012
Belgium,"14,448,276",2012
Italy,"14,085,948",2012
Spain,"13,167,990",2012
