Country Name,Country Code,GDP 2020
Africa Eastern and Southern,AFE,1330.140232
Afghanistan,AFG,508.8084095
Africa Western and Central,AFW,1714.4268
Angola,AGO,1895.770869
Albania,ALB,5215.276752
Arab World,ARB,5654.950574
Argentina,ARG,8441.919439
Armenia,ARM,4267.452119
Antigua and Barbuda,ATG,14449.99652
Australia,AUS,51812.15404
Austria,AUT,48327.63111
Azerbaijan,AZE,4214.311336
Burundi,BDI,274.0095232
Belgium,BEL,44594.37811
Benin,BEN,1291.040962
Burkina Faso,BFA,830.9251446
Bangladesh,BGD,1968.792225
Bulgaria,BGR,9975.780001
"Bahamas, The",BHS,28607.90138
Bosnia and Herzegovina,BIH,6031.556869
Belarus,BLR,6411.227813
Belize,BLZ,4435.621154
Bolivia,BOL,3143.045494
Brazil,BRA,6796.844542
Barbados,BRB,15191.16404
Brunei Darussalam,BRN,27466.33964
Bhutan,BTN,3122.376062
Botswana,BWA,6710.990411
Central African Republic,CAF,476.8511127
Canada,CAN,43258.17632
Central Europe and the Baltics,CEB,16103.4713
Switzerland,CHE,87097.03645
Chile,CHL,13231.70421
China,CHN,10500.39562
Cote d'Ivoire,CIV,2325.723705
Cameroon,CMR,1499.372843
"Congo, Dem. Rep.",COD,556.8131853
"Congo, Rep.",COG,1972.545246
Colombia,COL,5332.773524
Comoros,COM,1402.595489
Cabo Verde,CPV,3064.272388
Costa Rica,CRI,12076.81451
Caribbean small states,CSS,9192.767801
Cyprus,CYP,26623.80089
Czech Republic,CZE,22932.22497
Germany,DEU,46208.42947
Djibouti,DJI,3425.50345
Dominica,DMA,6526.793215
Denmark,DNK,61063.31643
Dominican Republic,DOM,7268.19691
Algeria,DZA,3310.386534
East Asia & Pacific (excluding high income),EAP,8286.438787
Early-demographic dividend,EAR,3168.141819
East Asia & Pacific,EAS,11495.40995
Europe & Central Asia (excluding high income),ECA,7656.593919
Europe & Central Asia,ECS,23877.79463
Ecuador,ECU,5600.389615
"Egypt, Arab Rep.",EGY,3547.870848
Euro area,EMU,37938.51812
Spain,ESP,27063.19392
Estonia,EST,23027.027
Ethiopia,ETH,936.3404611
European Union,EUU,34114.89528
Fragile and conflict affected situations,FCS,1609.247467
Finland,FIN,48773.28117
Fiji,FJI,4881.526069
France,FRA,39030.36037
Gabon,GAB,7005.879097
United Kingdom,GBR,40284.63846
Georgia,GEO,4278.860771
Ghana,GHA,2328.534642
Guinea,GIN,1194.037865
"Gambia, The",GMB,787.0064509
Guinea-Bissau,GNB,727.5201717
Equatorial Guinea,GNQ,7143.238705
Greece,GRC,17676.19248
Grenada,GRD,9680.175825
Guatemala,GTM,4603.339617
Guyana,GUY,6955.939217
High income,HIC,43952.65564
"Hong Kong SAR, China",HKG,46323.86344
Honduras,HND,2405.732848
Heavily indebted poor countries (HIPC),HPC,976.1257266
Croatia,HRV,13828.4695
Haiti,HTI,1176.75582
Hungary,HUN,15899.14828
IBRD only,IBD,6141.175638
IDA & IBRD total,IBT,4882.353412
IDA total,IDA,1306.947649
IDA blend,IDB,1664.260131
Indonesia,IDN,3869.588427
IDA only,IDX,1129.781415
India,IND,1900.70681
Ireland,IRL,85267.76474
"Iran, Islamic Rep.",IRN,2282.551865
Iraq,IRQ,4157.484495
Iceland,ISL,59270.18005
Israel,ISR,43610.51623
Italy,ITA,31676.2021
